symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
F,2017-07-03 00:00:00+00:00,11.56,11.685,11.25,11.36,43948678,9.5316465973,9.6347137102,9.2760401574,9.3667392168,43948678,0.0,1.0
F,2017-07-05 00:00:00+00:00,11.3,11.56,11.26,11.51,39176191,9.3172670026,9.5316465973,9.2842855265,9.4904197522,39176191,0.0,1.0
F,2017-07-06 00:00:00+00:00,11.18,11.36,11.17,11.29,31623250,9.2183225742,9.3667392168,9.2100772052,9.3090216336,31623250,0.0,1.0
F,2017-07-07 00:00:00+00:00,11.26,11.28,11.16,11.21,20228302,9.2842855265,9.3007762645,9.2018318362,9.2430586813,20228302,0.0,1.0
F,2017-07-10 00:00:00+00:00,11.34,11.35,11.23,11.24,18842220,9.3502484787,9.3584938477,9.2595494194,9.2677947884,18842220,0.0,1.0
F,2017-07-11 00:00:00+00:00,11.38,11.43,11.3,11.31,25878819,9.3832299548,9.4244568,9.3172670026,9.3255123716,25878819,0.0,1.0
F,2017-07-12 00:00:00+00:00,11.47,11.62,11.4,11.41,33016943,9.4574382761,9.5811188115,9.3997206929,9.4079660619,33016943,0.0,1.0
F,2017-07-13 00:00:00+00:00,11.6,11.69,11.45,11.46,33428336,9.5646280734,9.6388363947,9.440947538,9.449192907,33428336,0.0,1.0
F,2017-07-14 00:00:00+00:00,11.68,11.73,11.6,11.645,39526457,9.6305910257,9.6718178708,9.5646280734,9.6017322341,39526457,0.0,1.0
F,2017-07-17 00:00:00+00:00,11.74,11.75,11.65,11.71,24361564,9.6800632399,9.6883086089,9.6058549186,9.6553271328,24361564,0.0,1.0
F,2017-07-18 00:00:00+00:00,11.75,11.75,11.67,11.72,24611755,9.6883086089,9.6883086089,9.6223456566,9.6635725018,24611755,0.0,1.0
F,2017-07-19 00:00:00+00:00,11.83,11.83,11.74,11.76,26144010,9.7542715611,9.7542715611,9.6800632399,9.6965539779,26144010,0.0,1.0
F,2017-07-20 00:00:00+00:00,11.7,11.78,11.66,11.69,29627820,9.7707622992,9.8375709303,9.7373579836,9.7624112203,29627820,0.15,1.0
F,2017-07-21 00:00:00+00:00,11.53,11.62,11.46,11.59,27521900,9.6287939581,9.7039536681,9.5703364059,9.6789004314,27521900,0.0,1.0
F,2017-07-24 00:00:00+00:00,11.29,11.55,11.27,11.51,47901342,9.4283680648,9.6454961158,9.411665907,9.6120918003,47901342,0.0,1.0
F,2017-07-25 00:00:00+00:00,11.27,11.375,11.22,11.3,52289910,9.411665907,9.4993522353,9.3699105125,9.4367191436,52289910,0.0,1.0
F,2017-07-26 00:00:00+00:00,11.06,11.16,10.95,11.14,71786881,9.2362932503,9.3198040392,9.1444313826,9.3031018814,71786881,0.0,1.0
