symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HPQ,2017-07-03 00:00:00+00:00,17.56,17.745,17.54,17.59,4312603,15.159647194,15.3193587391,15.1423810811,15.1855463635,4312603,0.0,1.0
HPQ,2017-07-05 00:00:00+00:00,17.65,17.72,17.46,17.57,13987378,15.2373447024,15.2977760979,15.0733166292,15.1682802505,13987378,0.0,1.0
HPQ,2017-07-06 00:00:00+00:00,17.19,17.62,17.1,17.58,11774259,14.840224104,15.211445533,14.7625265956,15.176913307,11774259,0.0,1.0
HPQ,2017-07-07 00:00:00+00:00,17.35,17.38,17.165,17.25,8027523,14.9783530078,15.0042521772,14.8186414627,14.8920224429,8027523,0.0,1.0
HPQ,2017-07-10 00:00:00+00:00,17.87,17.89,17.45,17.53,9795289,15.4272719452,15.4445380582,15.0646835727,15.1337480246,9795289,0.0,1.0
HPQ,2017-07-11 00:00:00+00:00,17.94,18.12,17.78,17.83,11283961,15.4877033406,15.6430983574,15.3495744368,15.3927397192,11283961,0.0,1.0
HPQ,2017-07-12 00:00:00+00:00,18.04,18.2259,17.875,18.08,10130795,15.5740339055,15.7345224256,15.4315884734,15.6085661315,10130795,0.0,1.0
HPQ,2017-07-13 00:00:00+00:00,18.08,18.16,17.95,18.02,9199929,15.6085661315,15.6776305834,15.4963363971,15.5567677925,9199929,0.0,1.0
HPQ,2017-07-14 00:00:00+00:00,18.42,18.49,18.09,18.09,8083815,15.9020900521,15.9625214475,15.6171991879,15.6171991879,8083815,0.0,1.0
HPQ,2017-07-17 00:00:00+00:00,18.47,18.5,18.25,18.42,9070587,15.9452553345,15.971154504,15.7553280918,15.9020900521,9070587,0.0,1.0
HPQ,2017-07-18 00:00:00+00:00,18.39,18.505,18.27,18.45,5233887,15.8761908826,15.9754710322,15.7725942047,15.9279892215,5233887,0.0,1.0
HPQ,2017-07-19 00:00:00+00:00,18.7,18.7,18.36,18.42,10790569,16.1438156337,16.1438156337,15.8502917131,15.9020900521,10790569,0.0,1.0
HPQ,2017-07-20 00:00:00+00:00,18.94,19.06,18.75,18.94,10999050,16.3510089895,16.4546056673,16.1869809162,16.3510089895,10999050,0.0,1.0
HPQ,2017-07-21 00:00:00+00:00,19.15,19.235,18.845,18.94,9195945,16.5323031757,16.6056841559,16.2689949528,16.3510089895,9195945,0.0,1.0
HPQ,2017-07-24 00:00:00+00:00,19.24,19.39,19.1,19.12,8076313,16.6100006841,16.7394965315,16.4891378933,16.5064040063,8076313,0.0,1.0
HPQ,2017-07-25 00:00:00+00:00,19.41,19.58,19.105,19.27,9203100,16.7567626444,16.9035246047,16.4934544215,16.6358998536,9203100,0.0,1.0
HPQ,2017-07-26 00:00:00+00:00,19.26,19.47,19.18,19.44,7831599,16.6272667971,16.8085609834,16.5582023452,16.7826618139,7831599,0.0,1.0
HPQ,2017-07-27 00:00:00+00:00,19.21,19.45,18.82,19.33,9558384,16.5841015147,16.7912948704,16.2474123116,16.6876981925,9558384,0.0,1.0
HPQ,2017-07-28 00:00:00+00:00,19.17,19.21,18.82,19.09,5850171,16.5495692887,16.5841015147,16.2474123116,16.4805048368,5850171,0.0,1.0
HPQ,2017-07-31 00:00:00+00:00,19.1,19.32,19.045,19.2,12753971,16.4891378933,16.679065136,16.4416560826,16.5754684582,12753971,0.0,1.0
HPQ,2017-08-01 00:00:00+00:00,19.14,19.18,18.96,19.14,6477649,16.5236701192,16.5582023452,16.3682751025,16.5236701192,6477649,0.0,1.0
HPQ,2017-08-02 00:00:00+00:00,19.1,19.21,18.87,19.19,10779771,16.4891378933,16.5841015147,16.2905775941,16.5668354017,10779771,0.0,1.0
HPQ,2017-08-03 00:00:00+00:00,19.36,19.36,19.0,19.1,14622728,16.713597362,16.713597362,16.4028073284,16.4891378933,14622728,0.0,1.0
HPQ,2017-08-04 00:00:00+00:00,19.37,19.58,19.27,19.33,9122513,16.7222304185,16.9035246047,16.6358998536,16.6876981925,9122513,0.0,1.0
HPQ,2017-08-07 00:00:00+00:00,19.32,19.4,19.25,19.37,9191707,16.679065136,16.748129588,16.6186337406,16.7222304185,9191707,0.0,1.0
HPQ,2017-08-08 00:00:00+00:00,19.32,19.48,19.2,19.3,11555025,16.679065136,16.8171940399,16.5754684582,16.6617990231,11555025,0.0,1.0
HPQ,2017-08-09 00:00:00+00:00,19.32,19.34,19.09,19.22,7801433,16.679065136,16.696331249,16.4805048368,16.5927345712,7801433,0.0,1.0
HPQ,2017-08-10 00:00:00+00:00,18.9,19.27,18.88,19.22,13237082,16.3164767635,16.6358998536,16.2992106505,16.5927345712,13237082,0.0,1.0
HPQ,2017-08-11 00:00:00+00:00,18.9,19.1,18.85,18.94,6609939,16.3164767635,16.4891378933,16.2733114811,16.3510089895,6609939,0.0,1.0
HPQ,2017-08-14 00:00:00+00:00,19.1,19.2,19.02,19.07,7603115,16.4891378933,16.5754684582,16.4200734414,16.4632387238,7603115,0.0,1.0
HPQ,2017-08-15 00:00:00+00:00,19.04,19.12,18.86,19.01,9164759,16.4373395544,16.5064040063,16.2819445376,16.4114403849,9164759,0.0,1.0
HPQ,2017-08-16 00:00:00+00:00,18.97,19.065,18.87,18.98,9537718,16.3769081589,16.4589221956,16.2905775941,16.3855412154,9537718,0.0,1.0
HPQ,2017-08-17 00:00:00+00:00,18.64,19.08,18.63,18.88,9133468,16.0920172948,16.4718717803,16.0833842383,16.2992106505,9133468,0.0,1.0
HPQ,2017-08-18 00:00:00+00:00,18.51,18.65,18.36,18.6,11390991,15.9797875605,16.1006503513,15.8502917131,16.0574850689,11390991,0.0,1.0
HPQ,2017-08-21 00:00:00+00:00,18.57,18.66,18.405,18.48,6913548,16.0315858994,16.1092834078,15.8891404673,15.953888391,6913548,0.0,1.0
HPQ,2017-08-22 00:00:00+00:00,19.02,19.095,18.59,18.63,8419179,16.4200734414,16.4848213651,16.0488520124,16.0833842383,8419179,0.0,1.0
HPQ,2017-08-23 00:00:00+00:00,18.86,19.05,18.8,19.04,9183992,16.2819445376,16.4459726109,16.2301461986,16.4373395544,9183992,0.0,1.0
HPQ,2017-08-24 00:00:00+00:00,19.41,19.78,18.83,18.83,27331073,16.7567626444,17.0761857345,16.2560453681,16.2560453681,27331073,0.0,1.0
HPQ,2017-08-25 00:00:00+00:00,19.31,19.64,19.31,19.54,13460553,16.6704320796,16.9553229437,16.6704320796,16.8689923788,13460553,0.0,1.0
HPQ,2017-08-28 00:00:00+00:00,19.18,19.5,19.08,19.35,13014730,16.5582023452,16.8344601528,16.4718717803,16.7049643055,13014730,0.0,1.0
HPQ,2017-08-29 00:00:00+00:00,19.21,19.25,18.96,19.04,9199609,16.5841015147,16.6186337406,16.3682751025,16.4373395544,9199609,0.0,1.0
HPQ,2017-08-30 00:00:00+00:00,19.17,19.25,19.06,19.2,7959534,16.5495692887,16.6186337406,16.4546056673,16.5754684582,7959534,0.0,1.0
HPQ,2017-08-31 00:00:00+00:00,19.08,19.3,19.01,19.26,10279638,16.4718717803,16.6617990231,16.4114403849,16.6272667971,10279638,0.0,1.0
HPQ,2017-09-01 00:00:00+00:00,19.36,19.49,19.07,19.08,7550930,16.713597362,16.8258270964,16.4632387238,16.4718717803,7550930,0.0,1.0
HPQ,2017-09-05 00:00:00+00:00,19.24,19.34,19.1,19.28,12082841,16.6100006841,16.696331249,16.4891378933,16.6445329101,12082841,0.0,1.0
HPQ,2017-09-06 00:00:00+00:00,19.37,19.475,19.27,19.34,11613150,16.7222304185,16.8128775116,16.6358998536,16.696331249,11613150,0.0,1.0
HPQ,2017-09-07 00:00:00+00:00,19.28,19.375,19.2,19.35,5678207,16.6445329101,16.7265469467,16.5754684582,16.7049643055,5678207,0.0,1.0
HPQ,2017-09-08 00:00:00+00:00,19.12,19.26,19.08,19.23,6492927,16.5064040063,16.6272667971,16.4718717803,16.6013676276,6492927,0.0,1.0
HPQ,2017-09-11 00:00:00+00:00,19.32,19.4,19.225,19.263,7208763,16.679065136,16.748129588,16.5970510994,16.6298567141,7208763,0.0,1.0
HPQ,2017-09-12 00:00:00+00:00,19.48,19.5,19.26,19.29,7415498,16.9317546995,16.9491384312,16.7405336505,16.7666092481,7415498,0.1327,1.0
