symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2017-07-03 00:00:00+00:00,68.17,69.6,68.02,69.33,16165500,63.8350673831,65.1741336345,63.6946058882,64.9213029437,16165500,0.0,1.0
MSFT,2017-07-05 00:00:00+00:00,69.08,69.44,68.22,68.255,20174523,64.6872004522,65.0243080399,63.8818878814,63.9146622302,20174523,0.0,1.0
MSFT,2017-07-06 00:00:00+00:00,68.57,68.78,68.12,68.27,20776555,64.2096313695,64.4062774624,63.7882468848,63.9287083797,20776555,0.0,1.0
MSFT,2017-07-07 00:00:00+00:00,69.46,69.84,68.7,68.7,15897154,65.0430362392,65.3988720263,64.3313646651,64.3313646651,15897154,0.0,1.0
MSFT,2017-07-10 00:00:00+00:00,69.98,70.25,69.2,69.46,14903400,65.5299694216,65.7828001124,64.7995696481,65.0430362392,14903400,0.0,1.0
MSFT,2017-07-11 00:00:00+00:00,69.99,70.68,69.75,70.0,16880205,65.5393335212,66.1854563978,65.3145951294,65.5486976209,16880205,0.0,1.0
MSFT,2017-07-12 00:00:00+00:00,71.15,71.28,70.55,70.69,17382861,66.6255690818,66.7473023774,66.0637231022,66.1948204974,17382861,0.0,1.0
MSFT,2017-07-13 00:00:00+00:00,71.77,72.0399,71.31,71.5,20149208,67.2061432607,67.4588803106,66.7753946764,66.9533125699,20149208,0.0,1.0
MSFT,2017-07-14 00:00:00+00:00,72.78,73.27,71.96,72.24,25689303,68.1519173264,68.6107582098,67.3840611543,67.6462559448,25689303,0.0,1.0
MSFT,2017-07-17 00:00:00+00:00,73.35,73.45,72.72,72.8,21481069,68.685671007,68.7793120036,68.0957327284,68.1706455257,21481069,0.0,1.0
MSFT,2017-07-18 00:00:00+00:00,73.3,73.39,72.66,73.09,26150272,68.6388505087,68.7231274057,68.0395481305,68.4422044159,26150272,0.0,1.0
MSFT,2017-07-19 00:00:00+00:00,73.86,74.04,73.45,73.5,21769229,69.1632400897,69.3317938836,68.7793120036,68.8261325019,21769229,0.0,1.0
MSFT,2017-07-20 00:00:00+00:00,74.22,74.3,73.28,74.18,34174677,69.5003476775,69.5752604747,68.6201223094,69.4628912788,34174677,0.0,1.0
MSFT,2017-07-21 00:00:00+00:00,73.79,74.29,73.17,73.45,45302930,69.0976913921,69.5658963751,68.5171172132,68.7793120036,45302930,0.0,1.0
MSFT,2017-07-24 00:00:00+00:00,73.6,73.75,73.13,73.53,20836422,68.9197734985,69.0602349934,68.4796608145,68.8542248009,20836422,0.0,1.0
MSFT,2017-07-25 00:00:00+00:00,74.19,74.31,73.5,73.8,21522189,69.4722553785,69.5846245744,68.8261325019,69.1070554917,21522189,0.0,1.0
MSFT,2017-07-26 00:00:00+00:00,74.05,74.38,73.81,74.34,15850344,69.3411579832,69.650173272,69.1164195914,69.6127168734,15850344,0.0,1.0
MSFT,2017-07-27 00:00:00+00:00,73.16,74.42,72.32,73.76,35518251,68.5077531135,69.6876296707,67.721168742,69.0695990931,35518251,0.0,1.0
MSFT,2017-07-28 00:00:00+00:00,73.04,73.31,72.54,72.67,17472880,68.3953839176,68.6482146084,67.9271789346,68.0489122301,17472880,0.0,1.0
MSFT,2017-07-31 00:00:00+00:00,72.7,73.44,72.41,73.3,23151962,68.0770045291,68.769947904,67.805445639,68.6388505087,23151962,0.0,1.0
MSFT,2017-08-01 00:00:00+00:00,72.58,73.42,72.49,73.1,19060885,67.9646353332,68.7512197047,67.8803584363,68.4515685155,19060885,0.0,1.0
MSFT,2017-08-02 00:00:00+00:00,72.26,72.56,71.445,72.55,26405096,67.6649841441,67.9459071339,66.9018100218,67.9365430342,26405096,0.0,1.0
MSFT,2017-08-03 00:00:00+00:00,72.15,72.44,71.845,72.19,17937522,67.5619790478,67.833537938,67.2763740082,67.5994354465,17937522,0.0,1.0
MSFT,2017-08-04 00:00:00+00:00,72.68,73.04,72.24,72.4,22579000,68.0582763298,68.3953839176,67.6462559448,67.7960815393,22579000,0.0,1.0
MSFT,2017-08-07 00:00:00+00:00,72.4,72.9,72.26,72.8,18705700,67.7960815393,68.2642865223,67.6649841441,68.1706455257,18705700,0.0,1.0
MSFT,2017-08-08 00:00:00+00:00,72.79,73.13,71.75,72.09,21446993,68.1612814261,68.4796608145,67.1874150614,67.5057944499,21446993,0.0,1.0
MSFT,2017-08-09 00:00:00+00:00,72.47,72.51,72.05,72.25,20401071,67.8616302369,67.8990866356,67.4683380512,67.6556200444,20401071,0.0,1.0
MSFT,2017-08-10 00:00:00+00:00,71.41,72.19,71.35,71.9,23153711,66.869035673,67.5994354465,66.812851075,67.3278765563,23153711,0.0,1.0
MSFT,2017-08-11 00:00:00+00:00,72.5,72.7,71.28,71.61,21121250,67.8897225359,68.0770045291,66.7473023774,67.0563176662,21121250,0.0,1.0
MSFT,2017-08-14 00:00:00+00:00,73.59,73.72,72.95,73.06,19756773,68.9104093989,69.0321426945,68.3111070206,68.4141121169,19756773,0.0,1.0
MSFT,2017-08-15 00:00:00+00:00,73.22,73.59,73.04,73.59,17791179,68.9291375982,69.2774547371,68.7596860171,69.2774547371,17791179,0.39,1.0
MSFT,2017-08-16 00:00:00+00:00,73.65,74.1,73.17,73.34,17814317,69.3339385975,69.7575675502,68.8820677146,69.0421053189,17814317,0.0,1.0
MSFT,2017-08-17 00:00:00+00:00,72.4,73.87,72.4,73.58,21834250,68.1571915066,69.5410460855,68.1571915066,69.2680407604,21834250,0.0,1.0
MSFT,2017-08-18 00:00:00+00:00,72.49,72.84,71.93,72.27,18215276,68.2419172971,68.5714064826,67.7147346004,68.0348098091,18215276,0.0,1.0
MSFT,2017-08-21 00:00:00+00:00,72.15,72.48,71.7,72.47,17656716,67.9218420884,68.2325033204,67.4982131356,68.2230893436,17656716,0.0,1.0
MSFT,2017-08-22 00:00:00+00:00,73.16,73.24,72.35,72.35,14183146,68.8726537378,68.9479655517,68.1101216229,68.1101216229,14183146,0.0,1.0
MSFT,2017-08-23 00:00:00+00:00,72.72,73.15,72.53,72.96,13586784,68.4584387618,68.8632397611,68.279573204,68.6843742033,13586784,0.0,1.0
MSFT,2017-08-24 00:00:00+00:00,72.69,72.86,72.07,72.74,15980144,68.4301968316,68.590234436,67.8465302745,68.4772667153,15980144,0.0,1.0
MSFT,2017-08-25 00:00:00+00:00,72.82,73.35,72.48,72.86,12574503,68.5525785291,69.0515192957,68.2325033204,68.590234436,12574503,0.0,1.0
MSFT,2017-08-28 00:00:00+00:00,72.83,73.09,72.55,73.06,14112777,68.5619925058,68.8067559007,68.2984011575,68.7785139706,14112777,0.0,1.0
MSFT,2017-08-29 00:00:00+00:00,73.05,73.16,72.05,72.25,11325418,68.7690999938,68.8726537378,67.8277023211,68.0159818556,11325418,0.0,1.0
MSFT,2017-08-30 00:00:00+00:00,74.01,74.2099,72.8293,73.01,16826094,69.6728417597,69.8610271544,68.5613335275,68.7314440869,16826094,0.0,1.0
MSFT,2017-08-31 00:00:00+00:00,74.77,74.96,73.8,74.03,26688077,70.388303991,70.5671695488,69.4751482484,69.6916697131,26688077,0.0,1.0
MSFT,2017-09-01 00:00:00+00:00,73.94,74.74,73.64,74.71,21593192,69.6069439226,70.3600620608,69.3245246208,70.3318201306,21593192,0.0,1.0
MSFT,2017-09-05 00:00:00+00:00,73.61,73.89,72.98,73.34,21432599,69.2962826906,69.5598740389,68.7032021567,69.0421053189,21432599,0.0,1.0
MSFT,2017-09-06 00:00:00+00:00,73.4,74.04,73.35,73.74,15945136,69.0985891793,69.7010836898,69.0515192957,69.418664388,15945136,0.0,1.0
MSFT,2017-09-07 00:00:00+00:00,74.34,74.6,73.6,73.68,17165518,69.9835029917,70.2282663866,69.2868687138,69.3621805277,17165518,0.0,1.0
MSFT,2017-09-08 00:00:00+00:00,73.98,74.44,73.84,74.33,14474383,69.6445998295,70.0776427589,69.5128041553,69.9740890149,14474383,0.0,1.0
MSFT,2017-09-11 00:00:00+00:00,74.76,74.945,74.31,74.31,17428067,70.3788900142,70.5530485837,69.9552610615,69.9552610615,17428067,0.0,1.0
MSFT,2017-09-12 00:00:00+00:00,74.68,75.24,74.37,74.76,14003880,70.3035782004,70.8307608971,70.0117449219,70.3788900142,14003880,0.0,1.0
MSFT,2017-09-13 00:00:00+00:00,75.21,75.23,74.55,74.93,12998629,70.802518967,70.8213469204,70.1811965029,70.5389276186,12998629,0.0,1.0
MSFT,2017-09-14 00:00:00+00:00,74.77,75.49,74.52,75.0,15373384,70.388303991,71.0661103153,70.1529545728,70.6048254557,15373384,0.0,1.0
MSFT,2017-09-15 00:00:00+00:00,75.31,75.39,74.07,74.83,37901927,70.8966587342,70.9719705481,69.72932562,70.4447878513,37901927,0.0,1.0
MSFT,2017-09-18 00:00:00+00:00,75.16,75.97,75.04,75.23,22730355,70.7554490833,71.5179811982,70.6424813626,70.8213469204,22730355,0.0,1.0
MSFT,2017-09-19 00:00:00+00:00,75.44,75.71,75.01,75.21,15606870,71.0190404317,71.2732178033,70.6142394324,70.802518967,15606870,0.0,1.0
MSFT,2017-09-20 00:00:00+00:00,74.94,75.55,74.31,75.35,20415084,70.5483415953,71.1225941757,69.9552610615,70.9343146411,20415084,0.0,1.0
MSFT,2017-09-21 00:00:00+00:00,74.21,75.24,74.11,75.11,19038998,69.8611212942,70.8307608971,69.7669815269,70.7083791997,19038998,0.0,1.0
MSFT,2017-09-22 00:00:00+00:00,74.41,74.51,73.85,73.99,13969937,70.0494008288,70.143540596,69.522218132,69.6540138062,13969937,0.0,1.0
MSFT,2017-09-25 00:00:00+00:00,73.26,74.25,72.92,74.09,23502422,68.9667935051,69.8987772011,68.6467182964,69.7481535735,23502422,0.0,1.0
MSFT,2017-09-26 00:00:00+00:00,73.26,73.81,72.99,73.67,17105469,68.9667935051,69.4845622251,68.7126161335,69.3527665509,17105469,0.0,1.0
MSFT,2017-09-27 00:00:00+00:00,73.85,74.17,73.17,73.55,18934048,69.522218132,69.8234653873,68.8820677146,69.2397988302,18934048,0.0,1.0
MSFT,2017-09-28 00:00:00+00:00,73.87,73.97,73.31,73.54,10814063,69.5410460855,69.6351858528,69.0138633887,69.2303848535,10814063,0.0,1.0
MSFT,2017-09-29 00:00:00+00:00,74.49,74.535,73.88,73.94,16700435,70.1247126426,70.1670755379,69.5504600622,69.6069439226,16700435,0.0,1.0
MSFT,2017-10-02 00:00:00+00:00,74.61,75.01,74.295,74.71,15210338,70.2376803633,70.6142394324,69.9411400964,70.3318201306,15210338,0.0,1.0
MSFT,2017-10-03 00:00:00+00:00,74.26,74.88,74.195,74.67,11935853,69.9081911779,70.491857735,69.8470003291,70.2941642237,11935853,0.0,1.0
MSFT,2017-10-04 00:00:00+00:00,74.69,74.72,73.71,74.0,13287346,70.3129921771,70.3412341073,69.3904224578,69.6634277829,13287346,0.0,1.0
MSFT,2017-10-05 00:00:00+00:00,75.97,76.12,74.96,75.22,20656238,71.5179811982,71.6591908492,70.5671695488,70.8119329437,20656238,0.0,1.0
MSFT,2017-10-06 00:00:00+00:00,76.0,76.03,75.54,75.67,13692791,71.5462231284,71.5744650586,71.113180199,71.2355618964,13692791,0.0,1.0
MSFT,2017-10-09 00:00:00+00:00,76.29,76.55,75.86,75.97,11364275,71.8192284535,72.0639918484,71.4144274542,71.5179811982,11364275,0.0,1.0
MSFT,2017-10-10 00:00:00+00:00,76.29,76.63,76.14,76.33,13734627,71.8192284535,72.1393036623,71.6780188026,71.8568843604,13734627,0.0,1.0
MSFT,2017-10-11 00:00:00+00:00,76.42,76.46,75.95,76.36,14780652,71.941610151,71.9792660579,71.4991532448,71.8851262906,14780652,0.0,1.0
MSFT,2017-10-12 00:00:00+00:00,77.12,77.29,76.37,76.49,16778148,72.6005885219,72.7606261263,71.8945402673,72.0075079881,16778148,0.0,1.0
MSFT,2017-10-13 00:00:00+00:00,77.49,77.87,77.29,77.59,15250772,72.9489056608,73.3066367765,72.7606261263,73.0430454281,15250772,0.0,1.0
MSFT,2017-10-16 00:00:00+00:00,77.65,77.81,77.35,77.42,12331147,73.0995292884,73.2501529161,72.8171099866,72.8830078237,12331147,0.0,1.0
MSFT,2017-10-17 00:00:00+00:00,77.59,77.62,77.25,77.47,15953665,73.0430454281,73.0712873583,72.7229702194,72.9300777074,15953665,0.0,1.0
MSFT,2017-10-18 00:00:00+00:00,77.61,77.85,77.37,77.67,13147124,73.0618733815,73.287808823,72.8359379401,73.1183572419,13147124,0.0,1.0
MSFT,2017-10-19 00:00:00+00:00,77.91,77.93,77.35,77.57,14982129,73.3442926834,73.3631206368,72.8171099866,73.0242174746,14982129,0.0,1.0
MSFT,2017-10-20 00:00:00+00:00,78.81,78.97,78.22,78.32,22517092,74.1915505888,74.3421742165,73.6361259619,73.7302657292,22517092,0.0,1.0
MSFT,2017-10-23 00:00:00+00:00,78.83,79.34,78.76,78.99,20479731,74.2103785423,74.6904913554,74.1444807052,74.3610021699,20479731,0.0,1.0
MSFT,2017-10-24 00:00:00+00:00,78.86,79.2,78.46,78.9,16613928,74.2386204725,74.5586956812,73.8620614034,74.2762763794,16613928,0.0,1.0
MSFT,2017-10-25 00:00:00+00:00,78.63,79.1,78.01,78.58,19714512,74.0220990077,74.4645559139,73.4384324506,73.9750291241,19714512,0.0,1.0
MSFT,2017-10-26 00:00:00+00:00,78.76,79.42,78.75,79.2,29181652,74.1444807052,74.7658031692,74.1350667285,74.5586956812,29181652,0.0,1.0
MSFT,2017-10-27 00:00:00+00:00,83.81,86.2,83.61,84.37,70877350,78.8985389525,81.1484793904,78.710259418,79.4257216493,70877350,0.0,1.0
MSFT,2017-10-30 00:00:00+00:00,83.89,84.325,83.105,83.7,31291801,78.9738507664,79.383358754,78.2348535933,78.7949852085,31291801,0.0,1.0
MSFT,2017-10-31 00:00:00+00:00,83.18,84.36,83.11,84.36,26728947,78.3054584187,79.4163076726,78.2395605816,79.4163076726,26728947,0.0,1.0
MSFT,2017-11-01 00:00:00+00:00,83.18,83.76,82.88,83.68,22039635,78.3054584187,78.8514690689,78.0230391169,78.7761572551,22039635,0.0,1.0
MSFT,2017-11-02 00:00:00+00:00,84.05,84.46,83.12,83.35,23822964,79.124474394,79.5104474398,78.2489745584,78.4654960231,23822964,0.0,1.0
MSFT,2017-11-03 00:00:00+00:00,84.14,84.54,83.4,84.08,17569120,79.2092001845,79.5857592536,78.5125659067,79.1527163242,17569120,0.0,1.0
MSFT,2017-11-06 00:00:00+00:00,84.47,84.7,84.0825,84.2,19039847,79.5198614166,79.7363828813,79.1550698184,79.2656840449,19039847,0.0,1.0
MSFT,2017-11-07 00:00:00+00:00,84.27,84.9,83.93,84.77,17152583,79.331581882,79.9246624158,79.0115066733,79.8022807184,17152583,0.0,1.0
MSFT,2017-11-08 00:00:00+00:00,84.56,84.61,83.83,84.14,17593880,79.6045872071,79.6516570907,78.917366906,79.2092001845,17593880,0.0,1.0
MSFT,2017-11-09 00:00:00+00:00,84.09,84.27,82.9,84.11,20924172,79.1621303009,79.331581882,78.0418670703,79.1809582544,20924172,0.0,1.0
MSFT,2017-11-10 00:00:00+00:00,83.87,84.095,83.23,83.79,19340435,78.9550228129,79.1668372893,78.3525283024,78.8797109991,19340435,0.0,1.0
MSFT,2017-11-13 00:00:00+00:00,83.93,83.94,83.46,83.66,14080820,79.0115066733,79.02092065,78.5690497671,78.7573293016,14080820,0.0,1.0
MSFT,2017-11-14 00:00:00+00:00,84.05,84.1,82.98,83.5,18604034,79.124474394,79.1715442776,78.1171788842,78.606705674,18604034,0.0,1.0
MSFT,2017-11-15 00:00:00+00:00,82.98,83.69,82.69,83.47,19097333,78.5125659067,79.1843412959,78.2381787759,78.9761855415,19097333,0.42,1.0
MSFT,2017-11-16 00:00:00+00:00,83.2,83.42,82.94,83.1,20659209,78.7207216611,78.9288774155,78.4747194059,78.6261054091,20659209,0.0,1.0
MSFT,2017-11-17 00:00:00+00:00,82.4,83.12,82.24,83.12,21715498,77.9637916451,78.6450286595,77.8124056419,78.6450286595,21715498,0.0,1.0
MSFT,2017-11-20 00:00:00+00:00,82.53,82.59,82.25,82.4,16072495,78.0867927727,78.1435625239,77.8218672671,77.9637916451,16072495,0.0,1.0
MSFT,2017-11-21 00:00:00+00:00,83.72,83.84,82.74,82.74,21237454,79.2127261715,79.3262656739,78.2854869019,78.2854869019,21237454,0.0,1.0
