symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2017-07-03 00:00:00+00:00,352.62,371.35,351.5,370.24,6297330,70.524,74.27,70.3,74.048,31486650,0.0,1.0
TSLA,2017-07-05 00:00:00+00:00,327.09,347.24,326.33,347.2,16883496,65.418,69.448,65.266,69.44,84417480,0.0,1.0
TSLA,2017-07-06 00:00:00+00:00,308.83,320.7899,306.3,317.26,19189195,61.766,64.15798,61.26,63.452,95945975,0.0,1.0
TSLA,2017-07-07 00:00:00+00:00,313.22,317.0,307.38,313.5,14053750,62.644,63.4,61.476,62.7,70268750,0.0,1.0
TSLA,2017-07-10 00:00:00+00:00,316.05,317.94,303.13,312.9,13702080,63.21,63.588,60.626,62.58,68510400,0.0,1.0
TSLA,2017-07-11 00:00:00+00:00,327.22,327.28,314.3,316.0,11400054,65.444,65.456,62.86,63.2,57000270,0.0,1.0
TSLA,2017-07-12 00:00:00+00:00,329.52,333.1,324.5,330.4,10297839,65.904,66.62,64.9,66.08,51489195,0.0,1.0
TSLA,2017-07-13 00:00:00+00:00,323.41,331.6,319.97,330.11,8540442,64.682,66.32,63.994,66.022,42702210,0.0,1.0
TSLA,2017-07-14 00:00:00+00:00,327.78,328.42,321.22,323.19,5590393,65.556,65.684,64.244,64.638,27951965,0.0,1.0
TSLA,2017-07-17 00:00:00+00:00,319.57,327.1,313.45,325.54,9784200,63.914,65.42,62.69,65.108,48921000,0.0,1.0
TSLA,2017-07-18 00:00:00+00:00,328.24,329.13,315.66,317.5,6326961,65.648,65.826,63.132,63.5,31634805,0.0,1.0
TSLA,2017-07-19 00:00:00+00:00,325.26,331.65,323.2193,328.23,6300735,65.052,66.33,64.64386,65.646,31503675,0.0,1.0
TSLA,2017-07-20 00:00:00+00:00,329.92,330.22,324.2,326.9,5098707,65.984,66.044,64.84,65.38,25493535,0.0,1.0
TSLA,2017-07-21 00:00:00+00:00,328.4,331.2575,325.8,329.46,4826383,65.68,66.2515,65.16,65.892,24131915,0.0,1.0
TSLA,2017-07-24 00:00:00+00:00,342.52,343.399,330.01,330.24,8552012,68.504,68.6798,66.002,66.048,42760060,0.0,1.0
TSLA,2017-07-25 00:00:00+00:00,339.6,345.6,334.15,345.0,6958889,67.92,69.12,66.83,69.0,34794445,0.0,1.0
TSLA,2017-07-26 00:00:00+00:00,343.85,345.5,338.12,340.36,4750198,68.77,69.1,67.624,68.072,23750990,0.0,1.0
TSLA,2017-07-27 00:00:00+00:00,334.46,347.5,326.29,346.0,8259202,66.892,69.5,65.258,69.2,41296010,0.0,1.0
TSLA,2017-07-28 00:00:00+00:00,335.07,339.6,332.51,336.89,4841257,67.014,67.92,66.502,67.378,24206285,0.0,1.0
TSLA,2017-07-31 00:00:00+00:00,323.47,341.49,321.04,335.5,8499335,64.694,68.298,64.208,67.1,42496675,0.0,1.0
TSLA,2017-08-01 00:00:00+00:00,319.57,324.45,316.13,323.0,8247544,63.914,64.89,63.226,64.6,41237720,0.0,1.0
TSLA,2017-08-02 00:00:00+00:00,325.89,327.12,311.22,318.94,9911432,65.178,65.424,62.244,63.788,49557160,0.0,1.0
TSLA,2017-08-03 00:00:00+00:00,347.09,350.0,343.15,345.33,13448583,69.418,70.0,68.63,69.066,67242915,0.0,1.0
TSLA,2017-08-04 00:00:00+00:00,356.91,357.27,343.3,347.0,9151520,71.382,71.454,68.66,69.4,45757600,0.0,1.0
TSLA,2017-08-07 00:00:00+00:00,355.17,359.48,352.75,357.35,6265570,71.034,71.896,70.55,71.47,31327850,0.0,1.0
TSLA,2017-08-08 00:00:00+00:00,365.22,368.58,357.4,357.53,7363033,73.044,73.716,71.48,71.506,36815165,0.0,1.0
TSLA,2017-08-09 00:00:00+00:00,363.53,370.0,358.95,361.0,6847245,72.706,74.0,71.79,72.2,34236225,0.0,1.0
TSLA,2017-08-10 00:00:00+00:00,355.4,366.6504,354.66,361.6,7035192,71.08,73.33008,70.932,72.32,35175960,0.0,1.0
TSLA,2017-08-11 00:00:00+00:00,357.715,361.26,353.62,356.97,4318835,71.543,72.252,70.724,71.394,21594175,0.0,1.0
TSLA,2017-08-14 00:00:00+00:00,363.8,367.66,362.6,364.63,4461215,72.76,73.532,72.52,72.926,22306075,0.0,1.0
TSLA,2017-08-15 00:00:00+00:00,362.33,365.49,359.37,365.2,3048074,72.466,73.098,71.874,73.04,15240370,0.0,1.0
TSLA,2017-08-16 00:00:00+00:00,362.91,366.5,362.52,363.0,3328576,72.582,73.3,72.504,72.6,16642880,0.0,1.0
TSLA,2017-08-17 00:00:00+00:00,351.92,363.3,351.59,361.21,4969222,70.384,72.66,70.318,72.242,24846110,0.0,1.0
TSLA,2017-08-18 00:00:00+00:00,347.46,354.0,345.8,352.91,5335793,69.492,70.8,69.16,70.582,26678965,0.0,1.0
TSLA,2017-08-21 00:00:00+00:00,337.86,345.82,331.85,345.82,6458812,67.572,69.164,66.37,69.164,32294060,0.0,1.0
TSLA,2017-08-22 00:00:00+00:00,341.35,342.24,337.3725,341.13,4288367,68.27,68.448,67.4745,68.226,21441835,0.0,1.0
TSLA,2017-08-23 00:00:00+00:00,352.77,353.49,338.3041,338.99,4914201,70.554,70.698,67.66082,67.798,24571005,0.0,1.0
TSLA,2017-08-24 00:00:00+00:00,352.93,356.66,349.74,352.52,4540652,70.586,71.332,69.948,70.504,22703260,0.0,1.0
TSLA,2017-08-25 00:00:00+00:00,348.05,355.69,347.3,354.24,3461744,69.61,71.138,69.46,70.848,17308720,0.0,1.0
TSLA,2017-08-28 00:00:00+00:00,345.66,347.35,339.72,347.28,3718108,69.132,69.47,67.944,69.456,18590540,0.0,1.0
TSLA,2017-08-29 00:00:00+00:00,347.36,349.05,338.75,339.48,4032825,69.472,69.81,67.75,67.896,20164125,0.0,1.0
TSLA,2017-08-30 00:00:00+00:00,353.18,353.47,347.0,349.67,3390055,70.636,70.694,69.4,69.934,16950275,0.0,1.0
TSLA,2017-08-31 00:00:00+00:00,355.9,358.44,352.82,353.55,4061400,71.18,71.688,70.564,70.71,20307000,0.0,1.0
TSLA,2017-09-01 00:00:00+00:00,355.4,357.59,353.69,356.12,3049500,71.08,71.518,70.738,71.224,15247500,0.0,1.0
TSLA,2017-09-05 00:00:00+00:00,349.59,355.49,345.89,353.8,3835100,69.918,71.098,69.178,70.76,19175500,0.0,1.0
TSLA,2017-09-06 00:00:00+00:00,344.53,350.979,341.56,349.5,4058983,68.906,70.1958,68.312,69.9,20294915,0.0,1.0
